VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit Concept Name,Visit Concept Code,Visit OMOP ID
idno,Study-specific participant ID,INT,,,,10000,0,100000702,111999604,,,,,snomed:184107009,Patient hospital number,4086934,,,,,,,Person,M0,baseline time,loinc:64103-5,40766819
ages,Age at survey (yrs),INT,years,,,10000,0,40,105,,,,,loinc:30525-0,Age,3022304,,,,year,ucum:a,9448,Person,M0,baseline time,loinc:64103-5,40766819
sex,Sex,STR,,"1=""Male""|2=""Female""",,10000,0,,,,snomed:248153007|snomed:248152002|loinc:LA2-8|loinc:LA3-6,male| female,8507|8532,loinc:76689-9,Sex assigned at birth,46235213,,,,,,,Person,M0,baseline time,loinc:64103-5,40766819
edlevel,Level of education reached,STR,,"0=""No schooling"" |1= ""Primary""| 2=""Secondary""|3= ""Vocational/University""",,10000,0,,,,loinc:LA35-1|loinc:LA32466-7|loinc:LA32467-5|loinc:LA30193-9,No schooling|Primary school education|High school education|More than high school,45880050|1620732|1620880|37079441,snomed:82589-3,Highest level of education,42528763,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
occjob,Occupation: job,STR,,"0=""Not working""|1=""Manual""|2= ""Services""| 3= ""Office""|4=""Student""|5=""Other""",,10000,0,,,,snomed:73438004|snomed:106541005|snomed:65853000|snomed:115124001|snomed:74964007,Unemployed| Worker| student| Service worker| Other,4251171|4023811|4277918|4017974|9177,snomed:224362002,Employment status,4073163,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
smcigstat,Cigarette status,STR,,0=Never smoker|1= Never smoker / Former smoker| 2=Former smoker|3= Current smoker/ Former smoker|4= Current smoker,.,9897,103,,,,loinc:LA18978-9|icare:icv200000105|loinc:LA15920-4|loinc:LA15919-6|loinc:LA20356-4,Never smoker|never/former|Former smoker| Some day smoker| Current smoker,45879404|2000000105|45883458|45881686|36309332,snomed:1311000175101,Smoking assessment,761009,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
smokstat,Smoking tobacco status: combined,STR,,0=Never smoker|1= Never smoker / Former smoker| 2=Former smoker|3= Current smoker/ Former smoker|4= Current smoker,.,9999,1,,,,loinc:LA18978-9|icare:icv200000105|loinc:LA15920-4|loinc:LA15919-6|loinc:LA20356-4,Never smoker|never/former|Former smoker| Some day smoker| Current smoker,45879404|2000000105|45883458|45881686|36309332,loinc:72166-2,Tobacco smoking status,43054909,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
chewstat,Chewing tobacco status: combined,STR,,0=Never smoker|1= Never smoker / Former smoker| 2=Former smoker|3= Current smoker/ Former smoker|4= Current smoker,.,9999,1,,,,loinc:LA18978-9|icare:icv200000105|loinc:LA15920-4|loinc:LA15919-6|loinc:LA20356-4,Never smoker|never/former|Former smoker| Some day smoker| Current smoker,45879404|2000000105|45883458|45881686|36309332,omop:OMOP5181849,Chewing tobacco user,903667,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
alcallstat,Alcohol status: combined,STR,,0=Never smoker|1= Never smoker / Former smoker| 2=Former smoker|3= Current smoker/ Former smoker|4= Current smoker,.,9998,2,,,,loinc:LA32-8|icare:icv200000105|loinc:LA28393-9|snomed:LA10082-8|snomed:15240007,No|never/former|former user|Sometimes|current,763692|2000000105|36307819|45882528|4034855,snomed:219006,Current drinker,4074035,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxcvd,history of cardiovascular disease,STR,,"0=No history""|1= yes History|2=""Possible History",.,4813,5187,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,loinc:LA32627-4,Cardiovascular disease,1989960,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxchd,history of coronary heart disease,STR,,"0=No history""|1= yes History|2=""Possible History",.,1088,8912,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:53741008,Coronary arteriosclerosis,317576,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxmi,History of myocardial infarction,STR,,"0=No history""|1= yes History|2=""Possible History",.,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:22298006,Myocardial infarction,4329847,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxang,History of angina,STR,,"0=No history""|1= yes History|2=""Possible History",.,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:194828000,Angina pectoris,321318,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxstroke,History of stroke,STR,,"0=No history""|1= yes History|2=""Possible History",.,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:230690007,Cerebrovascular accident,381316,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxstisc,history of ischaemic stroke,STR,,"0=No history""|1= yes History|2=""Possible History",.,9723,277,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:422504002,Ischemic stroke,4310996,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxsthae,history of haemorrhagic stroke,STR,,"0=No history""|1= yes History|2=""Possible History",.,9578,422,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:1078001000000105,Haemorrhagic stroke,35609033,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxocvd,history other cardiovascular disease,STR,,"0=No history""|1= yes History|2=""Possible History",.,4454,5546,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:49601007,Disorder of cardiovascular system,134057,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxovasc,history of 'other' vascular disease,STR,,"0=No history""|1= yes History|2=""Possible History",.,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:72092001,Arteriosclerotic vascular disease ,318443,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxendo,history of endocrine  nutritional  metabolic disease,STR,,"0=No history""|1= yes History|2=""Possible History",.,3167,6833,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:362969004,Disorder of endocrine system,31821,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxdiab,History of diabetes,STR,," 0=""No history""|1=""History""|2=""Possible History""|3=""Latent""|4=""Impaired glucose tolerance (IGT)""|5= ""Impaired fasting glucose (IFG)""|6= ""IGT or IFG""",.,3167,6833,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009|snomed:44104002|loinc:LA33717-2|snomed:390951007|icare:icv200000104,No|Yes|Possible|Latent|Impaired glucose tolerance|Impaired fasting glycemia|impaired glucose tolerance or impaired fasting glucose,45878245|45877994|4162850|4185573|3968756|4308509|2000000104,loinc:LA10529-8,diabetes,45879799,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxdiab2,History of diabetes - Type 2,STR,,"0=No history""|1= yes History|2=""Possible History",.,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:44054006,Type 2 diabetes (T2DM),201826,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxhchol,history of high cholesterol,STR,,"0=No history""|1= yes History|2=""Possible History",.,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:13644009,Hypercholesterolemia,4029305,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxhyp,History of hypertension,STR,,"0=No history""|1= yes History|2=""Possible History",.,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:38341003,Hypertensive disorder,316866,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxdige,history of digestive system disease,STR,,"0=No history""|1= yes History|2=""Possible History",.,122,9878,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:53619000,Disorder of digestive system,4201745,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxgeno,history of genitourinary system disease,STR,,"0=No history""|1= yes History|2=""Possible History",.,706,9294,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:42030000,Disorder of the genitourinary system,4171379,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxkid,history of kidney disease,STR,,"0=No history""|1= yes History|2=""Possible History",.,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:90708001,kidney disease,198124,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxresp,history of respiratory system disease,STR,,"0=No history""|1= yes History|2=""Possible History",.,91,9909,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:50043002,Disorder of respiratory system,320136,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxcan,history of neoplasm (any form),STR,,"0=No history""|1= yes History|2=""Possible History",.,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:108369006,Neoplasm,4030314,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxanyo,history of any other disease (a catch all),STR,,"0=No history""|1= yes History|2=""Possible History",.,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:404684003,clinical finding,441840,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxkidsto,history of kidney stones,STR,,"0=No history""|1= yes History|2=""Possible History",.,9294,706,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,loinc:LA14297-8,Kidney stones,45876812,Medical history [PhenX],loinc:66480-5,40769143,,,,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxhypage,History of hypertension - Age,INT,years,,,4429,5571,,,,,,,snomed:38341003,Hypertensive disorder,316866,Age,loinc:30525-0,3022304,year,ucum:a,9448,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxangage,History of angina - Age,INT,years,,,890,9110,1,85,,,,,snomed:194828000,Angina pectoris,321318,Age,loinc:30525-0,3022304,year,ucum:a,9448,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxcanage,history of neoplasm (any form) - Age,INT,years,,,65,9935,26,82,,,,,snomed:108369006,Neoplasm,4030314,Age,loinc:30525-0,3022304,year,ucum:a,9448,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxdiab2age,History of diabetes -Type 2 - Age,INT,years,,,3151,6849,1,88,,,,,snomed:44054006,Type 2 diabetes (T2DM),201826,Age,loinc:30525-0,3022304,year,ucum:a,9448,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxkidage,history of kidney disease - Age,INT,years,,,701,9299,1,90,,,,,snomed:90708001,kidney disease,198124,Age,loinc:30525-0,3022304,year,ucum:a,9448,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxmiage,History of myocardial infarction - Age ,INT,years,,,476,9524,,,,,,,snomed:22298006,Myocardial infarction,4329847,Age,loinc:30525-0,3022304,year,ucum:a,9448,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxsthaeage,history of haemorrhagic stroke - Age,INT,years,,,44,9956,32,78,,,,,snomed:1078001000000105,Haemorrhagic stroke,35609033,Age,loinc:30525-0,3022304,year,ucum:a,9448,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxstiscage,history of ischaemic stroke - Age,INT,years,,,189,9811,3,85,,,,,snomed:422504002, Ischemic stroke,4310996,Age,loinc:30525-0,3022304,year,ucum:a,9448,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
hxstrokeage,History of stroke - Age,INT,years,,,464,9536,,,,,,,snomed:230690007,Cerebrovascular accident,381316,Age,loinc:30525-0,3022304,year,ucum:a,9448,condition_occurrence,M0,baseline time,loinc:64103-5,40766819
diadstat,Drug status: anti-diabetics,STR,,0=Never taken|1=Never/previously taken| 2=previously taken| 3=Current/previously taken|4=Currently take,.,10000,0,,,,loinc:LA32-8|icare:icv200000101|icare:icv200000102|icare:icv200000103|loinc:66423-5,No|never/stopped taking medication|stopped taking medication|recently stopped medication|Medications Current medication,45878245|2000000101|2000000102|2000000103|40769096,atc:A10,drugs used in diabetes,21600712,,,,,,,Drug_exposure,M0,baseline time,loinc:64103-5,40766819
hypdstat,Drug status: anti-hypertensives,STR,,0=Never taken|1=Never/previously taken| 2=previously taken| 3=Current/previously taken|4=Currently take,.,10000,0,,,,loinc:LA32-8|icare:icv200000101|icare:icv200000102|icare:icv200000103|loinc:66423-5,No|never/stopped taking medication|stopped taking medication|recently stopped medication|Medications Current medication,45878245|2000000101|2000000102|2000000103|40769096,atc:C02,ANTIHYPERTENSIVES,21600381,,,,,,,Drug_exposure,M0,baseline time,loinc:64103-5,40766819
lipdstat,Drug status: lipid lowering,STR,,0=Never taken|1=Never/previously taken| 2=previously taken| 3=Current/previously taken|4=Currently take,.,10000,0,,,,loinc:LA32-8|icare:icv200000101|icare:icv200000102|icare:icv200000103|loinc:66423-5,No|never/stopped taking medication|stopped taking medication|recently stopped medication|Medications Current medication,45878245|2000000101|2000000102|2000000103|40769096,atc:C10,lipid modifying agents,21601853,,,,,,,Drug_exposure,M0,baseline time,loinc:64103-5,40766819
bcpdstat,Drug status: Birth control ,STR,,0=Never taken|1=Never/previously taken| 2=previously taken| 3=Current/previously taken|4=Currently take,.,5130,4870,,,,loinc:LA32-8|icare:icv200000101|icare:icv200000102|icare:icv200000103|loinc:66423-5,No|never/stopped taking medication|stopped taking medication|recently stopped medication|Medications Current medication,45878245|2000000101|2000000102|2000000103|40769096,atc:G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,21602472,,,,,,,Drug_exposure,M0,baseline time,loinc:64103-5,40766819
arrdstat,Drug status: Anti-arrhythmic agent ,STR,,0=Never taken|1=Never/previously taken| 2=previously taken| 3=Current/previously taken|4=Currently take,.,10000,0,,,,loinc:LA32-8|icare:icv200000101|icare:icv200000102|icare:icv200000103|loinc:66423-5,No|never/stopped taking medication|stopped taking medication|recently stopped medication|Medications Current medication,45878245|2000000101|2000000102|2000000103|40769096,atc:C01B,ANTIARRHYTHMICS CLASS I AND III,21600248,,,,,,,Drug_exposure,M0,baseline time,loinc:64103-5,40766819
pladstat,Drug status: anti-platelets,STR,,0=Never taken|1=Never/previously taken| 2=previously taken| 3=Current/previously taken|4=Currently take,.,10000,0,,,,loinc:LA32-8|icare:icv200000101|icare:icv200000102|icare:icv200000103|loinc:66423-5,No|never/stopped taking medication|stopped taking medication|recently stopped medication|Medications Current medication,45878245|2000000101|2000000102|2000000103|40769096,atc:B01,antithrombotic agents,21600960,,,,,,,Drug_exposure,M0,baseline time,loinc:64103-5,40766819
coadstat,Drug status: anti-coagulants,STR,,0=Never taken|1=Never/previously taken| 2=previously taken| 3=Current/previously taken|4=Currently take,.,10000,0,,,,loinc:LA32-8|icare:icv200000101|icare:icv200000102|icare:icv200000103|loinc:66423-5,No|never/stopped taking medication|stopped taking medication|recently stopped medication|Medications Current medication,45878245|2000000101|2000000102|2000000103|40769096,atc:B01A,antithrombotic agents,21600961,,,,,,,Drug_exposure,M0,baseline time,loinc:64103-5,40766819
vitddstat,Drug status: Vitamin D supplements ,STR,,0=Never taken|1=Never/previously taken| 2=previously taken| 3=Current/previously taken|4=Currently take,.,10000,0,,,,loinc:LA32-8|icare:icv200000101|icare:icv200000102|icare:icv200000103|loinc:66423-5,No|never/stopped taking medication|stopped taking medication|recently stopped medication|Medications Current medication,45878245|2000000101|2000000102|2000000103|40769096,rxnorm:11253,vitamin d,19009405,,,,,,,Drug_exposure,M0,baseline time,loinc:64103-5,40766819
hxhyp_f,History of hypertension (family),STR,,"0=No history""|1= yes History|2=""Possible History",.,4083,5917,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:160357008,Family History of hypertension,4050816,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxanyo_f,History of any other disease (family),STR,,"0=No history""|1= yes History|2=""Possible History",.,120,9880,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:416471007,Family History of clinical finding,4167217,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxcan_f,History of neoplasm (family),STR,,"0=No history""|1= yes History|2=""Possible History",.,1116,8884,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:266883004,Family History of neoplasm,4144262,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxchd_f,History of CHD (family),STR,,"0=No history""|1= yes History|2=""Possible History",.,1552,8448,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:203261000000108,Family History of CHD,44789401,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxcvd_f,History of cardiovascular disease (family),STR,,"0=No history""|1= yes History|2=""Possible History",.,5300,4700,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:266894000,Family History of cardiovascular disease,4148407,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxdiab_f,History of diabetes (family),STR,,"0=No history""|1= yes History|2=""Possible History",.,3172,6828,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:160303001,Family History of diabetes,4051114,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxresp_f,History of respiratory system disease (family),STR,,"0=No history""|1= yes History|2=""Possible History",.,304,9696,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:151181000119106,Family History of respiratory system disease,46274036,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxstroke_f,History of stroke (family),STR,,"0=No history""|1= yes History|2=""Possible History",.,2425,7575,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:275104002,Family History of stroke,4169009,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxsudd_f,History of sudden death (family),STR,,"0=No history""|1= yes History|2=""Possible History",.,510,9490,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:430283008,Family History of sudden death,4160280,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxhyp_p,History of hypertension (parent),STR,,"0=No history""|1= yes History|2=""Possible History",.,9703,297,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:160357008,Family History of hypertension,4050816,parents ,loinc:LA32051-7,1620567,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxanyo_p,History of any other disease (parent),STR,,"0=No history""|1= yes History|2=""Possible History",.,9918,82,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:416471007,Family History of clinical finding,4167217,parents ,loinc:LA32051-7,1620567,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxcan_p,History of neoplasm (parent),STR,,"0=No history""|1= yes History|2=""Possible History",.,9917,83,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:266883004,Family History of neoplasm,4144262,parents ,loinc:LA32051-7,1620567,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxchd_p,History of CHD (parent),STR,,"0=No history""|1= yes History|2=""Possible History",.,9824,176,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:203261000000108,Family History of CHD,44789401,parents ,loinc:LA32051-7,1620567,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxcvd_p,History of cardiovascular disease (parent),STR,,"0=No history""|1= yes History|2=""Possible History",.,5300,4700,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:266894000,Family History of cardiovascular disease,4148407,parents ,loinc:LA32051-7,1620567,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxdiab_p,History of diabetes (parent),STR,,"0=No history""|1= yes History|2=""Possible History",.,3172,6828,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:160303001,Family History of diabetes,4051114,parents ,loinc:LA32051-7,1620567,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxresp_p,History of respiratory system disease (parent),STR,,"0=No history""|1= yes History|2=""Possible History",.,9906,94,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:151181000119106,Family History of respiratory system disease,46274036,parents ,loinc:LA32051-7,1620567,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxstroke_p,History of stroke (parent),STR,,"0=No history""|1= yes History|2=""Possible History",.,9839,161,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:275104002,Family History of stroke,4169009,parents ,loinc:LA32051-7,1620567,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxsudd_p,History of sudden death (parent),STR,,"0=No history""|1= yes History|2=""Possible History",.,9878,122,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:430283008,Family History of sudden death,4160280,parents ,loinc:LA32051-7,1620567,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxhyp_pf,History of hypertension (mother),STR,,"0=No history""|1= yes History|2=""Possible History",.,9792,208,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:160357008,Family History of hypertension,4050816,mother,snomed:72705000,4248584,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxanyo_pf,History of any other disease (mother),STR,,"0=No history""|1= yes History|2=""Possible History",.,9958,42,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:416471007,Family History of clinical finding,4167217,mother,snomed:72705000,4248584,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxcan_pf,History of neoplasm (mother),STR,,"0=No history""|1= yes History|2=""Possible History",.,9958,42,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:266883004,Family History of neoplasm,4144262,mother,snomed:72705000,4248584,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxchd_pf,History of CHD (mother),STR,,"0=No history""|1= yes History|2=""Possible History",.,9893,107,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:203261000000108,Family History of CHD,44789401,mother,snomed:72705000,4248584,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxcvd_pf,History of cardiovascular disease (mother),STR,,"0=No history""|1= yes History|2=""Possible History",.,3868,6132,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:266894000,Family History of cardiovascular disease,4148407,mother,snomed:72705000,4248584,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxdiab_pf,History of diabetes (mother),STR,,"0=No history""|1= yes History|2=""Possible History",.,2236,7764,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:160303001,Family History of diabetes,4051114,mother,snomed:72705000,4248584,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxresp_pf,History of respiratory system disease (mother),STR,,"0=No history""|1= yes History|2=""Possible History",.,9951,49,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:151181000119106,Family History of respiratory system disease,46274036,mother,snomed:72705000,4248584,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxstroke_pf,History of stroke (mother),STR,,"0=No history""|1= yes History|2=""Possible History",.,9910,90,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:275104002,Family History of stroke,4169009,mother,snomed:72705000,4248584,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxsudd_pf,History of sudden death (mother),STR,,"0=No history""|1= yes History|2=""Possible History",.,9949,51,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:430283008,Family History of sudden death,4160280,mother,snomed:72705000,4248584,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxhyp_pm,History of hypertension (father),STR,,"0=No history""|1= yes History|2=""Possible History",.,9691,309,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:160357008,Family History of hypertension,4050816,father,snomed:66839005,4283070,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxanyo_pm,History of any other disease (father),STR,,"0=No history""|1= yes History|2=""Possible History",.,9944,56,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:416471007,Family History of clinical finding,4167217,father,snomed:66839005,4283070,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxcan_pm,History of neoplasm (father),STR,,"0=No history""|1= yes History|2=""Possible History",.,9941,59,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:266883004,Family History of neoplasm,4144262,father,snomed:66839005,4283070,,,,Observation,M0,baseline time,loinc:64103-5,40766819
hxchd_pm,History of coronary heart disease (father),STR,,"0=No history""|1= yes History|2=""Possible History",.,9879,121,,,,loinc:LA32-8|loinc:LA33-6|snomed:371930009,No|Yes|Possible,45878245|45877994|4162850,snomed:203261000000108,Family History of CHD,44789401,father,snomed:66839005,4283070,,,,Observation,M0,baseline time,loinc:64103-5,40766819
